Sexo	Nivel de formación alcanzado	Edad	Periodo	Total
Ambos sexos	Total	De 30 a 34 años	2020	1.979,5
Ambos sexos	Total	De 30 a 34 años	2019	2.119,1
Ambos sexos	Total	De 30 a 34 años	2018	2.113,9
Ambos sexos	Total	De 30 a 34 años	2017	2.131,9
Ambos sexos	Total	De 30 a 34 años	2016	2.183,8
Ambos sexos	Total	De 30 a 34 años	2015	2.262
Ambos sexos	Total	De 30 a 34 años	2014	2.309,6
Ambos sexos	Total	De 35 a 39 años	2023	2.442,6
Ambos sexos	Total	De 35 a 39 años	2022	2.417,7
Ambos sexos	Total	De 35 a 39 años	2021	2.443,1
Ambos sexos	Total	De 35 a 39 años	2020	2.444,7
Ambos sexos	Total	De 35 a 39 años	2019	2.664,2
Ambos sexos	Total	De 35 a 39 años	2018	2.720,4
Ambos sexos	Total	De 35 a 39 años	2017	2.801,2
Ambos sexos	Total	De 35 a 39 años	2016	2.853,1
Ambos sexos	Total	De 35 a 39 años	2015	2.862,5
Ambos sexos	Total	De 35 a 39 años	2014	2.838
Ambos sexos	Total	De 40 a 44 años	2023	2.975
Ambos sexos	Total	De 40 a 44 años	2022	3.017,9
Ambos sexos	Total	De 40 a 44 años	2021	3.052,9
Ambos sexos	Total	De 40 a 44 años	2020	3.020
Ambos sexos	Total	De 40 a 44 años	2019	3.130,7
Ambos sexos	Total	De 40 a 44 años	2018	3.127,2
Ambos sexos	Total	De 40 a 44 años	2017	3.039,9
Ambos sexos	Total	De 40 a 44 años	2016	2.938,6
Ambos sexos	Total	De 40 a 44 años	2015	2.824,3
Ambos sexos	Total	De 40 a 44 años	2014	2.692
Ambos sexos	Total	De 45 a 49 años	2023	3.245,7
Ambos sexos	Total	De 45 a 49 años	2022	3.179,2
Ambos sexos	Total	De 45 a 49 años	2021	3.057,6
Ambos sexos	Total	De 45 a 49 años	2020	2.931,6
Ambos sexos	Total	De 45 a 49 años	2019	2.948,8
Ambos sexos	Total	De 45 a 49 años	2018	2.847,6
Ambos sexos	Total	De 45 a 49 años	2017	2.730,9
Ambos sexos	Total	De 45 a 49 años	2016	2.662,3
Ambos sexos	Total	De 45 a 49 años	2015	2.537,8
Ambos sexos	Total	De 45 a 49 años	2014	2.460,1
Ambos sexos	Total	De 50 a 54 años	2023	2.904,8
Ambos sexos	Total	De 50 a 54 años	2022	2.777,2
Ambos sexos	Total	De 50 a 54 años	2021	2.706,7
Ambos sexos	Total	De 50 a 54 años	2020	2.638,4
Ambos sexos	Total	De 50 a 54 años	2019	2.649,7
Ambos sexos	Total	De 50 a 54 años	2018	2.550,1
Ambos sexos	Total	De 50 a 54 años	2017	2.455,8
Ambos sexos	Total	De 50 a 54 años	2016	2.340,7
Ambos sexos	Total	De 50 a 54 años	2015	2.255,9
Ambos sexos	Total	De 50 a 54 años	2014	2.150,3
Ambos sexos	Total	De 55 a 59 años	2023	2.455,3
Ambos sexos	Total	De 55 a 59 años	2022	2.356,2
Ambos sexos	Total	De 55 a 59 años	2021	2.242,9
Ambos sexos	Total	De 55 a 59 años	2020	2.193,7
Ambos sexos	Total	De 55 a 59 años	2019	2.140,8
Ambos sexos	Total	De 55 a 59 años	2018	2.039,4
Ambos sexos	Total	De 55 a 59 años	2017	1.926,7
Ambos sexos	Total	De 55 a 59 años	2016	1.838,4
Ambos sexos	Total	De 55 a 59 años	2015	1.705,3
Ambos sexos	Total	De 55 a 59 años	2014	1.574,2
Ambos sexos	Total	De 60 a 64 años	2023	1.575,8
Ambos sexos	Total	De 60 a 64 años	2022	1.466,7
Ambos sexos	Total	De 60 a 64 años	2021	1.368,7
Ambos sexos	Total	De 60 a 64 años	2020	1.271,3
Ambos sexos	Total	De 60 a 64 años	2019	1.174,3
Ambos sexos	Total	De 60 a 64 años	2018	1.075,4
Ambos sexos	Total	De 60 a 64 años	2017	1.015
Ambos sexos	Total	De 60 a 64 años	2016	952,9
Ambos sexos	Total	De 60 a 64 años	2015	889,4
Ambos sexos	Total	De 60 a 64 años	2014	820,9
Ambos sexos	Total	De 65 a 69 años	2023	273,2
Ambos sexos	Total	De 65 a 69 años	2022	250,9
Ambos sexos	Total	De 65 a 69 años	2021	230,9
Ambos sexos	Total	De 65 a 69 años	2020	192,7
Ambos sexos	Total	De 65 a 69 años	2019	156,9
Ambos sexos	Total	De 65 a 69 años	2018	144,3
Ambos sexos	Total	De 65 a 69 años	2017	134,7
Ambos sexos	Total	De 65 a 69 años	2016	123,8
Ambos sexos	Total	De 65 a 69 años	2015	115,6
Ambos sexos	Total	De 65 a 69 años	2014	101,8
Ambos sexos	Total	70 y más años	2023	57,6
Ambos sexos	Total	70 y más años	2022	61,9
Ambos sexos	Total	70 y más años	2021	56,4
Ambos sexos	Total	70 y más años	2020	52,1
Ambos sexos	Total	70 y más años	2019	54,5
Ambos sexos	Total	70 y más años	2018	47
Ambos sexos	Total	70 y más años	2017	41,5
Ambos sexos	Total	70 y más años	2016	35
Ambos sexos	Total	70 y más años	2015	33
Ambos sexos	Total	70 y más años	2014	31,9
Ambos sexos	Analfabetos	Total	2023	44,4
Ambos sexos	Analfabetos	Total	2022	61,6
Ambos sexos	Analfabetos	Total	2021	54,1
Ambos sexos	Analfabetos	Total	2020	41,5
Ambos sexos	Analfabetos	Total	2019	38,2
Ambos sexos	Analfabetos	Total	2018	33,2
Ambos sexos	Analfabetos	Total	2017	40,6
Ambos sexos	Analfabetos	Total	2016	43,2
Ambos sexos	Analfabetos	Total	2015	44
Ambos sexos	Analfabetos	Total	2014	41,4
Ambos sexos	Analfabetos	De 16 a 19 años	2023	..
Ambos sexos	Analfabetos	De 16 a 19 años	2022	..
Ambos sexos	Analfabetos	De 16 a 19 años	2021	..
Ambos sexos	Analfabetos	De 16 a 19 años	2020	..
Ambos sexos	Analfabetos	De 16 a 19 años	2019	..
Ambos sexos	Analfabetos	De 16 a 19 años	2018	..
Ambos sexos	Analfabetos	De 16 a 19 años	2017	..
Ambos sexos	Analfabetos	De 16 a 19 años	2016	..
Ambos sexos	Analfabetos	De 16 a 19 años	2015	..
Ambos sexos	Analfabetos	De 16 a 19 años	2014	..
Ambos sexos	Analfabetos	De 20 a 24 años	2023	0,9
Ambos sexos	Analfabetos	De 20 a 24 años	2022	0,1
Ambos sexos	Analfabetos	De 20 a 24 años	2021	1
Ambos sexos	Analfabetos	De 20 a 24 años	2020	1,5
Ambos sexos	Analfabetos	De 20 a 24 años	2019	1,6
Ambos sexos	Analfabetos	De 20 a 24 años	2018	0,2
Ambos sexos	Analfabetos	De 20 a 24 años	2017	0,4
Ambos sexos	Analfabetos	De 20 a 24 años	2016	0,3
Ambos sexos	Analfabetos	De 20 a 24 años	2015	1,2
Ambos sexos	Analfabetos	De 20 a 24 años	2014	0,1
Ambos sexos	Analfabetos	De 25 a 29 años	2023	0,2
Ambos sexos	Analfabetos	De 25 a 29 años	2022	0,9
Ambos sexos	Analfabetos	De 25 a 29 años	2021	1,9
Ambos sexos	Analfabetos	De 25 a 29 años	2020	0,9
Ambos sexos	Analfabetos	De 25 a 29 años	2019	0,7
Ambos sexos	Analfabetos	De 25 a 29 años	2018	0,3
Ambos sexos	Analfabetos	De 25 a 29 años	2017	1,5
Ambos sexos	Analfabetos	De 25 a 29 años	2016	1,9
Ambos sexos	Analfabetos	De 25 a 29 años	2015	0,6
Ambos sexos	Analfabetos	De 25 a 29 años	2014	1,3
Ambos sexos	Analfabetos	De 30 a 34 años	2023	0,8
Ambos sexos	Analfabetos	De 30 a 34 años	2022	3,6
Ambos sexos	Analfabetos	De 30 a 34 años	2021	2
Ambos sexos	Analfabetos	De 30 a 34 años	2020	1,5
Ambos sexos	Analfabetos	De 30 a 34 años	2019	1,3
Ambos sexos	Analfabetos	De 30 a 34 años	2018	2,7
Ambos sexos	Analfabetos	De 30 a 34 años	2017	3,2
Ambos sexos	Analfabetos	De 30 a 34 años	2016	2,6
Ambos sexos	Analfabetos	De 30 a 34 años	2015	4,9
Ambos sexos	Analfabetos	De 30 a 34 años	2014	5,1
Ambos sexos	Analfabetos	De 35 a 39 años	2023	3,6
Ambos sexos	Analfabetos	De 35 a 39 años	2022	4,3
Ambos sexos	Analfabetos	De 35 a 39 años	2021	4,3
Ambos sexos	Analfabetos	De 35 a 39 años	2020	5,6
Ambos sexos	Analfabetos	De 35 a 39 años	2019	4,9
Ambos sexos	Analfabetos	De 35 a 39 años	2018	5,2
Ambos sexos	Analfabetos	De 35 a 39 años	2017	4,4
Ambos sexos	Analfabetos	De 35 a 39 años	2016	6,5
Ambos sexos	Analfabetos	De 35 a 39 años	2015	6,3
Ambos sexos	Analfabetos	De 35 a 39 años	2014	4,5
Ambos sexos	Analfabetos	De 40 a 44 años	2023	9,3
Ambos sexos	Analfabetos	De 40 a 44 años	2022	14
Ambos sexos	Analfabetos	De 40 a 44 años	2021	9,4
Ambos sexos	Analfabetos	De 40 a 44 años	2020	7,8
Ambos sexos	Analfabetos	De 40 a 44 años	2019	6,3
Ambos sexos	Analfabetos	De 40 a 44 años	2018	4,6
Ambos sexos	Analfabetos	De 40 a 44 años	2017	5,7
Ambos sexos	Analfabetos	De 40 a 44 años	2016	7
Ambos sexos	Analfabetos	De 40 a 44 años	2015	6,2
Ambos sexos	Analfabetos	De 40 a 44 años	2014	8,1
Ambos sexos	Analfabetos	De 45 a 49 años	2023	7,7
Ambos sexos	Analfabetos	De 45 a 49 años	2022	13,4
Ambos sexos	Analfabetos	De 45 a 49 años	2021	10,9
Ambos sexos	Analfabetos	De 45 a 49 años	2020	7,7
Ambos sexos	Analfabetos	De 45 a 49 años	2019	7,7
Ambos sexos	Analfabetos	De 45 a 49 años	2018	4,7
Ambos sexos	Analfabetos	De 45 a 49 años	2017	7,7
Ambos sexos	Analfabetos	De 45 a 49 años	2016	4,7
Ambos sexos	Analfabetos	De 45 a 49 años	2015	6,9
Ambos sexos	Analfabetos	De 45 a 49 años	2014	6,6
Ambos sexos	Analfabetos	De 50 a 54 años	2023	10,7
Ambos sexos	Analfabetos	De 50 a 54 años	2022	10,8
Ambos sexos	Analfabetos	De 50 a 54 años	2021	13,8
Ambos sexos	Analfabetos	De 50 a 54 años	2020	6,8
Ambos sexos	Analfabetos	De 50 a 54 años	2019	4,3
Ambos sexos	Analfabetos	De 50 a 54 años	2018	4,8
Ambos sexos	Analfabetos	De 50 a 54 años	2017	5,4
Ambos sexos	Analfabetos	De 50 a 54 años	2016	7,5
Ambos sexos	Analfabetos	De 50 a 54 años	2015	6,4
Ambos sexos	Analfabetos	De 50 a 54 años	2014	5
Ambos sexos	Analfabetos	De 55 a 59 años	2023	8,4
Ambos sexos	Analfabetos	De 55 a 59 años	2022	8,9
Ambos sexos	Analfabetos	De 55 a 59 años	2021	4,9
Ambos sexos	Analfabetos	De 55 a 59 años	2020	4,5
Ambos sexos	Analfabetos	De 55 a 59 años	2019	4,6
Ambos sexos	Analfabetos	De 55 a 59 años	2018	5
Ambos sexos	Analfabetos	De 55 a 59 años	2017	7,2
Ambos sexos	Analfabetos	De 55 a 59 años	2016	6,7
Ambos sexos	Analfabetos	De 55 a 59 años	2015	6,8
Ambos sexos	Analfabetos	De 55 a 59 años	2014	3,9
Ambos sexos	Analfabetos	De 60 a 64 años	2023	2,6
Ambos sexos	Analfabetos	De 60 a 64 años	2022	4,9
Ambos sexos	Analfabetos	De 60 a 64 años	2021	5,5
Ambos sexos	Analfabetos	De 60 a 64 años	2020	3,7
Ambos sexos	Analfabetos	De 60 a 64 años	2019	3,7
Ambos sexos	Analfabetos	De 60 a 64 años	2018	3,4
Ambos sexos	Analfabetos	De 60 a 64 años	2017	4,3
Ambos sexos	Analfabetos	De 60 a 64 años	2016	4,7
Ambos sexos	Analfabetos	De 60 a 64 años	2015	3,2
Ambos sexos	Analfabetos	De 60 a 64 años	2014	4,2
Ambos sexos	Analfabetos	De 65 a 69 años	2023	0,1
Ambos sexos	Analfabetos	De 65 a 69 años	2022	0,7
Ambos sexos	Analfabetos	De 65 a 69 años	2021	0,4
Ambos sexos	Analfabetos	De 65 a 69 años	2020	1,4
Ambos sexos	Analfabetos	De 65 a 69 años	2019	2,5
Ambos sexos	Analfabetos	De 65 a 69 años	2018	2,1
Ambos sexos	Analfabetos	De 65 a 69 años	2017	0,5
Ambos sexos	Analfabetos	De 65 a 69 años	2016	0,8
Ambos sexos	Analfabetos	De 65 a 69 años	2015	0,8
Ambos sexos	Analfabetos	De 65 a 69 años	2014	1,5
Ambos sexos	Analfabetos	70 y más años	2023	0,1
Ambos sexos	Analfabetos	70 y más años	2022	..
Ambos sexos	Analfabetos	70 y más años	2021	0,1
Ambos sexos	Analfabetos	70 y más años	2020	0,1
Ambos sexos	Analfabetos	70 y más años	2019	0,7
Ambos sexos	Analfabetos	70 y más años	2018	0,1
Ambos sexos	Analfabetos	70 y más años	2017	0,2
Ambos sexos	Analfabetos	70 y más años	2016	0,5
Ambos sexos	Analfabetos	70 y más años	2015	0,7
Ambos sexos	Analfabetos	70 y más años	2014	1,1
Ambos sexos	Estudios primarios incompletos	Total	2023	186,2
Ambos sexos	Estudios primarios incompletos	Total	2022	168,8
Ambos sexos	Estudios primarios incompletos	Total	2021	153,4
Ambos sexos	Estudios primarios incompletos	Total	2020	149,7
Ambos sexos	Estudios primarios incompletos	Total	2019	177,7
Ambos sexos	Estudios primarios incompletos	Total	2018	192,6
Ambos sexos	Estudios primarios incompletos	Total	2017	180,1
Ambos sexos	Estudios primarios incompletos	Total	2016	187,9
Ambos sexos	Estudios primarios incompletos	Total	2015	202,4
Ambos sexos	Estudios primarios incompletos	Total	2014	195,3
Ambos sexos	Estudios primarios incompletos	De 16 a 19 años	2023	0,1
Ambos sexos	Estudios primarios incompletos	De 16 a 19 años	2022	0,6
Ambos sexos	Estudios primarios incompletos	De 16 a 19 años	2021	0,2
Ambos sexos	Estudios primarios incompletos	De 16 a 19 años	2020	0,5
Ambos sexos	Estudios primarios incompletos	De 16 a 19 años	2019	0,4
Ambos sexos	Estudios primarios incompletos	De 16 a 19 años	2018	0,5
Ambos sexos	Estudios primarios incompletos	De 16 a 19 años	2017	0,6
Ambos sexos	Estudios primarios incompletos	De 16 a 19 años	2016	0,1
Ambos sexos	Estudios primarios incompletos	De 16 a 19 años	2015	0,4
Ambos sexos	Estudios primarios incompletos	De 16 a 19 años	2014	0,7
Ambos sexos	Estudios primarios incompletos	De 20 a 24 años	2023	2,2
Ambos sexos	Estudios primarios incompletos	De 20 a 24 años	2022	4,1
Ambos sexos	Estudios primarios incompletos	De 20 a 24 años	2021	4
Ambos sexos	Estudios primarios incompletos	De 20 a 24 años	2020	1,9
Ambos sexos	Estudios primarios incompletos	De 20 a 24 años	2019	2,4
Ambos sexos	Estudios primarios incompletos	De 20 a 24 años	2018	2,4
Ambos sexos	Estudios primarios incompletos	De 20 a 24 años	2017	2,9
Ambos sexos	Estudios primarios incompletos	De 20 a 24 años	2016	3,6
Ambos sexos	Estudios primarios incompletos	De 20 a 24 años	2015	3
Ambos sexos	Estudios primarios incompletos	De 20 a 24 años	2014	3,2
Ambos sexos	Estudios primarios incompletos	De 25 a 29 años	2023	6,9
Ambos sexos	Estudios primarios incompletos	De 25 a 29 años	2022	7,9
Ambos sexos	Estudios primarios incompletos	De 25 a 29 años	2021	6,7
Ambos sexos	Estudios primarios incompletos	De 25 a 29 años	2020	6,7
Ambos sexos	Estudios primarios incompletos	De 25 a 29 años	2019	4
Ambos sexos	Estudios primarios incompletos	De 25 a 29 años	2018	7,6
Ambos sexos	Estudios primarios incompletos	De 25 a 29 años	2017	7,9
Ambos sexos	Estudios primarios incompletos	De 25 a 29 años	2016	9,6
Ambos sexos	Estudios primarios incompletos	De 25 a 29 años	2015	10,2
Ambos sexos	Estudios primarios incompletos	De 25 a 29 años	2014	6,8
Ambos sexos	Estudios primarios incompletos	De 30 a 34 años	2023	10,3
Ambos sexos	Estudios primarios incompletos	De 30 a 34 años	2022	10,6
Ambos sexos	Estudios primarios incompletos	De 30 a 34 años	2021	7,9
Ambos sexos	Estudios primarios incompletos	De 30 a 34 años	2020	7,9
Ambos sexos	Estudios primarios incompletos	De 30 a 34 años	2019	10,9
Ambos sexos	Estudios primarios incompletos	De 30 a 34 años	2018	13,5
Ambos sexos	Estudios primarios incompletos	De 30 a 34 años	2017	13,9
Ambos sexos	Estudios primarios incompletos	De 30 a 34 años	2016	11,9
Ambos sexos	Estudios primarios incompletos	De 30 a 34 años	2015	11,3
Ambos sexos	Estudios primarios incompletos	De 30 a 34 años	2014	11
Ambos sexos	Estudios primarios incompletos	De 35 a 39 años	2023	20,4
Ambos sexos	Estudios primarios incompletos	De 35 a 39 años	2022	18,8
Ambos sexos	Estudios primarios incompletos	De 35 a 39 años	2021	16
Ambos sexos	Estudios primarios incompletos	De 35 a 39 años	2020	17
Ambos sexos	Estudios primarios incompletos	De 35 a 39 años	2019	22,9
Ambos sexos	Estudios primarios incompletos	De 35 a 39 años	2018	19,4
Ambos sexos	Estudios primarios incompletos	De 35 a 39 años	2017	21,2
Ambos sexos	Estudios primarios incompletos	De 35 a 39 años	2016	22
Ambos sexos	Estudios primarios incompletos	De 35 a 39 años	2015	20,6
Ambos sexos	Estudios primarios incompletos	De 35 a 39 años	2014	15,8
Ambos sexos	Estudios primarios incompletos	De 40 a 44 años	2023	30
Ambos sexos	Estudios primarios incompletos	De 40 a 44 años	2022	28,4
Ambos sexos	Estudios primarios incompletos	De 40 a 44 años	2021	24
Ambos sexos	Estudios primarios incompletos	De 40 a 44 años	2020	20,6
Ambos sexos	Estudios primarios incompletos	De 40 a 44 años	2019	22,4
Ambos sexos	Estudios primarios incompletos	De 40 a 44 años	2018	23,5
Ambos sexos	Estudios primarios incompletos	De 40 a 44 años	2017	23,7
Ambos sexos	Estudios primarios incompletos	De 40 a 44 años	2016	23,5
Ambos sexos	Estudios primarios incompletos	De 40 a 44 años	2015	24,6
Ambos sexos	Estudios primarios incompletos	De 40 a 44 años	2014	15,5
Ambos sexos	Estudios primarios incompletos	De 45 a 49 años	2023	35,1
Ambos sexos	Estudios primarios incompletos	De 45 a 49 años	2022	24,2
Ambos sexos	Estudios primarios incompletos	De 45 a 49 años	2021	24,3
Ambos sexos	Estudios primarios incompletos	De 45 a 49 años	2020	20,5
Ambos sexos	Estudios primarios incompletos	De 45 a 49 años	2019	23,2
Ambos sexos	Estudios primarios incompletos	De 45 a 49 años	2018	26,2
Ambos sexos	Estudios primarios incompletos	De 45 a 49 años	2017	21,3
Ambos sexos	Estudios primarios incompletos	De 45 a 49 años	2016	24,8
Ambos sexos	Estudios primarios incompletos	De 45 a 49 años	2015	28,5
Ambos sexos	Estudios primarios incompletos	De 45 a 49 años	2014	24,2
Ambos sexos	Estudios primarios incompletos	De 50 a 54 años	2023	30,9
Ambos sexos	Estudios primarios incompletos	De 50 a 54 años	2022	27,1
Ambos sexos	Estudios primarios incompletos	De 50 a 54 años	2021	18,7
Ambos sexos	Estudios primarios incompletos	De 50 a 54 años	2020	16,5
Ambos sexos	Estudios primarios incompletos	De 50 a 54 años	2019	23,5
Ambos sexos	Estudios primarios incompletos	De 50 a 54 años	2018	29,4
Ambos sexos	Estudios primarios incompletos	De 50 a 54 años	2017	25,3
Ambos sexos	Estudios primarios incompletos	De 50 a 54 años	2016	27,3
Ambos sexos	Estudios primarios incompletos	De 50 a 54 años	2015	28,4
Ambos sexos	Estudios primarios incompletos	De 50 a 54 años	2014	29,3
Ambos sexos	Estudios primarios incompletos	De 55 a 59 años	2023	20,5
Ambos sexos	Estudios primarios incompletos	De 55 a 59 años	2022	18,7
Ambos sexos	Estudios primarios incompletos	De 55 a 59 años	2021	19,9
Ambos sexos	Estudios primarios incompletos	De 55 a 59 años	2020	23,2
Ambos sexos	Estudios primarios incompletos	De 55 a 59 años	2019	27,6
Ambos sexos	Estudios primarios incompletos	De 55 a 59 años	2018	30,1
Ambos sexos	Estudios primarios incompletos	De 55 a 59 años	2017	28,2
Ambos sexos	Estudios primarios incompletos	De 55 a 59 años	2016	26,7
Ambos sexos	Estudios primarios incompletos	De 55 a 59 años	2015	34,3
Ambos sexos	Estudios primarios incompletos	De 55 a 59 años	2014	42,7
Ambos sexos	Estudios primarios incompletos	De 60 a 64 años	2023	20
Ambos sexos	Estudios primarios incompletos	De 60 a 64 años	2022	21,5
Ambos sexos	Estudios primarios incompletos	De 60 a 64 años	2021	23
Ambos sexos	Estudios primarios incompletos	De 60 a 64 años	2020	25
Ambos sexos	Estudios primarios incompletos	De 60 a 64 años	2019	30,8
Ambos sexos	Estudios primarios incompletos	De 60 a 64 años	2018	30,4
Ambos sexos	Estudios primarios incompletos	De 60 a 64 años	2017	27,3
Ambos sexos	Estudios primarios incompletos	De 60 a 64 años	2016	30,9
Ambos sexos	Estudios primarios incompletos	De 60 a 64 años	2015	31,7
Ambos sexos	Estudios primarios incompletos	De 60 a 64 años	2014	35,9
Ambos sexos	Estudios primarios incompletos	De 65 a 69 años	2023	8,5
Ambos sexos	Estudios primarios incompletos	De 65 a 69 años	2022	4,9
Ambos sexos	Estudios primarios incompletos	De 65 a 69 años	2021	4,8
Ambos sexos	Estudios primarios incompletos	De 65 a 69 años	2020	7,4
Ambos sexos	Estudios primarios incompletos	De 65 a 69 años	2019	6,9
Ambos sexos	Estudios primarios incompletos	De 65 a 69 años	2018	6,3
Ambos sexos	Estudios primarios incompletos	De 65 a 69 años	2017	5,9
Ambos sexos	Estudios primarios incompletos	De 65 a 69 años	2016	6,2
Ambos sexos	Estudios primarios incompletos	De 65 a 69 años	2015	7
Ambos sexos	Estudios primarios incompletos	De 65 a 69 años	2014	7,6
Ambos sexos	Estudios primarios incompletos	70 y más años	2023	1,3
Ambos sexos	Estudios primarios incompletos	70 y más años	2022	2
Ambos sexos	Estudios primarios incompletos	70 y más años	2021	3,9
Ambos sexos	Estudios primarios incompletos	70 y más años	2020	2,5
Ambos sexos	Estudios primarios incompletos	70 y más años	2019	2,7
Ambos sexos	Estudios primarios incompletos	70 y más años	2018	3,5
Ambos sexos	Estudios primarios incompletos	70 y más años	2017	2
Ambos sexos	Estudios primarios incompletos	70 y más años	2016	1,4
Ambos sexos	Estudios primarios incompletos	70 y más años	2015	2,3
Ambos sexos	Estudios primarios incompletos	70 y más años	2014	2,6
Ambos sexos	Educación primaria	Total	2023	771
Ambos sexos	Educación primaria	Total	2022	720,4
Ambos sexos	Educación primaria	Total	2021	724,8
Ambos sexos	Educación primaria	Total	2020	739,4
Ambos sexos	Educación primaria	Total	2019	850,6
Ambos sexos	Educación primaria	Total	2018	913,5
Ambos sexos	Educación primaria	Total	2017	947,5
Ambos sexos	Educación primaria	Total	2016	971,1
Ambos sexos	Educación primaria	Total	2015	993,1
Ambos sexos	Educación primaria	Total	2014	1.064,2
Ambos sexos	Educación primaria	De 16 a 19 años	2023	6,8
Ambos sexos	Educación primaria	De 16 a 19 años	2022	9
Ambos sexos	Educación primaria	De 16 a 19 años	2021	6,7
Ambos sexos	Educación primaria	De 16 a 19 años	2020	5,8
Ambos sexos	Educación primaria	De 16 a 19 años	2019	8,9
Ambos sexos	Educación primaria	De 16 a 19 años	2018	6,8
Ambos sexos	Educación primaria	De 16 a 19 años	2017	6,8
Ambos sexos	Educación primaria	De 16 a 19 años	2016	9,1
Ambos sexos	Educación primaria	De 16 a 19 años	2015	8,5
Ambos sexos	Educación primaria	De 16 a 19 años	2014	8,2
Ambos sexos	Educación primaria	De 20 a 24 años	2023	24,6
Ambos sexos	Educación primaria	De 20 a 24 años	2022	21
Ambos sexos	Educación primaria	De 20 a 24 años	2021	18,8
Ambos sexos	Educación primaria	De 20 a 24 años	2020	21,2
Ambos sexos	Educación primaria	De 20 a 24 años	2019	26,7
Ambos sexos	Educación primaria	De 20 a 24 años	2018	25
Ambos sexos	Educación primaria	De 20 a 24 años	2017	24,2
Ambos sexos	Educación primaria	De 20 a 24 años	2016	29,7
Ambos sexos	Educación primaria	De 20 a 24 años	2015	39,9
Ambos sexos	Educación primaria	De 20 a 24 años	2014	43,6
Ambos sexos	Educación primaria	De 25 a 29 años	2023	41,7
Ambos sexos	Educación primaria	De 25 a 29 años	2022	50,6
Ambos sexos	Educación primaria	De 25 a 29 años	2021	41,6
Ambos sexos	Educación primaria	De 25 a 29 años	2020	45
Ambos sexos	Educación primaria	De 25 a 29 años	2019	48,9
Ambos sexos	Educación primaria	De 25 a 29 años	2018	62,2
Ambos sexos	Educación primaria	De 25 a 29 años	2017	64,3
Ambos sexos	Educación primaria	De 25 a 29 años	2016	74,3
Ambos sexos	Educación primaria	De 25 a 29 años	2015	70,1
Ambos sexos	Educación primaria	De 25 a 29 años	2014	70
Ambos sexos	Educación primaria	De 30 a 34 años	2023	69,8
Ambos sexos	Educación primaria	De 30 a 34 años	2022	67,8
Ambos sexos	Educación primaria	De 30 a 34 años	2021	69
Ambos sexos	Educación primaria	De 30 a 34 años	2020	65,8
Ambos sexos	Educación primaria	De 30 a 34 años	2019	68,8
Ambos sexos	Educación primaria	De 30 a 34 años	2018	73,3
Ambos sexos	Educación primaria	De 30 a 34 años	2017	74,5
Ambos sexos	Educación primaria	De 30 a 34 años	2016	73,4
Ambos sexos	Educación primaria	De 30 a 34 años	2015	73,7
Ambos sexos	Educación primaria	De 30 a 34 años	2014	72,2
Ambos sexos	Educación primaria	De 35 a 39 años	2023	86,7
