Comunidades y Ciudades Autónomas	Sectores de actividad	Tipo de indicador	Componentes del coste	Periodo	Total
01 Andalucía	Total CNAE	Valor absoluto	Gastos de carácter social	2010	23,1
01 Andalucía	Total CNAE	Valor absoluto	Gastos de carácter social	2009	21,46
01 Andalucía	Total CNAE	Valor absoluto	Gastos de carácter social	2008	21,68
01 Andalucía	Total CNAE	Valor absoluto	Resto de costes	2023	217,22
01 Andalucía	Total CNAE	Valor absoluto	Resto de costes	2022	239,91
01 Andalucía	Total CNAE	Valor absoluto	Resto de costes	2021	237,43
01 Andalucía	Total CNAE	Valor absoluto	Resto de costes	2020	243,07
01 Andalucía	Total CNAE	Valor absoluto	Resto de costes	2019	277,38
01 Andalucía	Total CNAE	Valor absoluto	Resto de costes	2018	262,27
01 Andalucía	Total CNAE	Valor absoluto	Resto de costes	2017	296,66
01 Andalucía	Total CNAE	Valor absoluto	Resto de costes	2016	281,13
01 Andalucía	Total CNAE	Valor absoluto	Resto de costes	2015	264,46
01 Andalucía	Total CNAE	Valor absoluto	Resto de costes	2014	264,92
01 Andalucía	Total CNAE	Valor absoluto	Resto de costes	2013	349,43
01 Andalucía	Total CNAE	Valor absoluto	Resto de costes	2012	390,55
01 Andalucía	Total CNAE	Valor absoluto	Resto de costes	2011	400,85
01 Andalucía	Total CNAE	Valor absoluto	Resto de costes	2010	425,54
01 Andalucía	Total CNAE	Valor absoluto	Resto de costes	2009	523,92
01 Andalucía	Total CNAE	Valor absoluto	Resto de costes	2008	436,04
01 Andalucía	Total CNAE	Valor absoluto	Subvenciones y deducciones	2023	303,75
01 Andalucía	Total CNAE	Valor absoluto	Subvenciones y deducciones	2022	384,37
01 Andalucía	Total CNAE	Valor absoluto	Subvenciones y deducciones	2021	277,25
01 Andalucía	Total CNAE	Valor absoluto	Subvenciones y deducciones	2020	228,51
01 Andalucía	Total CNAE	Valor absoluto	Subvenciones y deducciones	2019	236,36
01 Andalucía	Total CNAE	Valor absoluto	Subvenciones y deducciones	2018	232,27
01 Andalucía	Total CNAE	Valor absoluto	Subvenciones y deducciones	2017	255,25
01 Andalucía	Total CNAE	Valor absoluto	Subvenciones y deducciones	2016	259,95
01 Andalucía	Total CNAE	Valor absoluto	Subvenciones y deducciones	2015	281,77
01 Andalucía	Total CNAE	Valor absoluto	Subvenciones y deducciones	2014	176,25
01 Andalucía	Total CNAE	Valor absoluto	Subvenciones y deducciones	2013	180,81
01 Andalucía	Total CNAE	Valor absoluto	Subvenciones y deducciones	2012	254,08
01 Andalucía	Total CNAE	Valor absoluto	Subvenciones y deducciones	2011	246,68
01 Andalucía	Total CNAE	Valor absoluto	Subvenciones y deducciones	2010	259,82
01 Andalucía	Total CNAE	Valor absoluto	Subvenciones y deducciones	2009	241,79
01 Andalucía	Total CNAE	Valor absoluto	Subvenciones y deducciones	2008	211,85
01 Andalucía	Total CNAE	Valor absoluto	Coste total neto	2023	31.720,72
01 Andalucía	Total CNAE	Valor absoluto	Coste total neto	2022	30.055,14
01 Andalucía	Total CNAE	Valor absoluto	Coste total neto	2021	28.922,45
01 Andalucía	Total CNAE	Valor absoluto	Coste total neto	2020	27.681,93
01 Andalucía	Total CNAE	Valor absoluto	Coste total neto	2019	27.851,2
01 Andalucía	Total CNAE	Valor absoluto	Coste total neto	2018	27.140,48
01 Andalucía	Total CNAE	Valor absoluto	Coste total neto	2017	27.374,22
01 Andalucía	Total CNAE	Valor absoluto	Coste total neto	2016	27.559,73
01 Andalucía	Total CNAE	Valor absoluto	Coste total neto	2015	27.912,03
01 Andalucía	Total CNAE	Valor absoluto	Coste total neto	2014	27.644,11
01 Andalucía	Total CNAE	Valor absoluto	Coste total neto	2013	27.698,09
01 Andalucía	Total CNAE	Valor absoluto	Coste total neto	2012	27.823,95
01 Andalucía	Total CNAE	Valor absoluto	Coste total neto	2011	28.690,16
01 Andalucía	Total CNAE	Valor absoluto	Coste total neto	2010	28.148,74
01 Andalucía	Total CNAE	Valor absoluto	Coste total neto	2009	28.398
01 Andalucía	Total CNAE	Valor absoluto	Coste total neto	2008	27.336,03
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Coste total bruto	2023	100
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Coste total bruto	2022	100
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Coste total bruto	2021	100
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Coste total bruto	2020	100
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Coste total bruto	2019	100
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Coste total bruto	2018	100
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Coste total bruto	2017	100
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Coste total bruto	2016	100
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Coste total bruto	2015	100
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Coste total bruto	2014	100
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Coste total bruto	2013	100
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Coste total bruto	2012	100
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Coste total bruto	2011	100
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Coste total bruto	2010	100
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Coste total bruto	2009	100
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Coste total bruto	2008	100
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Sueldos y salarios	2023	73,06
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Sueldos y salarios	2022	73,17
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Sueldos y salarios	2021	72,67
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Sueldos y salarios	2020	72,81
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Sueldos y salarios	2019	72,92
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Sueldos y salarios	2018	73,29
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Sueldos y salarios	2017	73,4
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Sueldos y salarios	2016	73,33
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Sueldos y salarios	2015	73,23
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Sueldos y salarios	2014	73,21
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Sueldos y salarios	2013	72,99
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Sueldos y salarios	2012	72,67
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Sueldos y salarios	2011	72,03
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Sueldos y salarios	2010	72,66
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Sueldos y salarios	2009	72,27
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Sueldos y salarios	2008	72,54
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2023	24,57
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2022	24,24
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2021	24,28
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2020	24,23
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2019	24,2
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2018	24,01
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2017	23,8
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2016	23,55
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2015	23,42
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2014	23,43
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2013	22,94
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2012	22,61
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2011	22,32
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2010	22,58
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2009	22,62
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones obligatorias	2008	23,04
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2023	0,34
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2022	0,35
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2021	0,36
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2020	0,39
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2019	0,38
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2018	0,41
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2017	0,47
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2016	0,47
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2015	0,43
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2014	0,47
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2013	0,45
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2012	0,44
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2011	0,59
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2010	0,6
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2009	0,65
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Cotizaciones voluntarias	2008	0,53
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2023	0,84
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2022	0,99
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2021	1,02
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2020	1,26
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2019	0,92
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2018	0,69
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2017	0,4
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2016	0,59
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2015	0,51
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2014	0,52
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2013	0,64
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2012	1,06
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2011	0,8
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2010	1,09
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2009	1,06
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Prestaciones sociales directas	2008	0,95
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2023	0,32
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2022	0,26
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2021	0,66
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2020	0,23
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2019	0,32
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2018	0,35
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2017	0,4
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2016	0,54
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2015	0,95
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2014	0,84
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2013	1,18
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2012	1,22
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2011	2,13
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2010	0,88
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2009	1,02
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Indemnizaciones por despido	2008	0,81
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2023	0,16
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2022	0,15
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2021	0,14
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2020	0,15
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2019	0,2
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2018	0,21
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2017	0,39
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2016	0,42
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2015	0,44
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2014	0,47
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2013	0,46
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2012	0,5
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2011	0,63
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2010	0,56
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2009	0,44
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en formación profesional	2008	0,41
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en transporte	2023	0,02
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en transporte	2022	0,01
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en transporte	2021	0,02
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en transporte	2020	0,02
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en transporte	2019	0,03
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en transporte	2018	0,03
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en transporte	2017	0,03
01 Andalucía	Total CNAE	Porcentaje sobre el coste total bruto	Gastos en transporte	2016	0,03
