Sexo	Tipo de contrato o relación laboral	Edad	Periodo	Total
Ambos sexos	Total	De 40 a 49 años	2008	4.230,4
Ambos sexos	Total	De 40 a 49 años	2007	4.142,5
Ambos sexos	Total	De 40 a 49 años	2006	3.983,7
Ambos sexos	Total	De 50 a 59 años	2023	4.364,7
Ambos sexos	Total	De 50 a 59 años	2022	4.168,2
Ambos sexos	Total	De 50 a 59 años	2021	3.996,8
Ambos sexos	Total	De 50 a 59 años	2020	3.914,8
Ambos sexos	Total	De 50 a 59 años	2019	3.864,7
Ambos sexos	Total	De 50 a 59 años	2018	3.688
Ambos sexos	Total	De 50 a 59 años	2017	3.484,8
Ambos sexos	Total	De 50 a 59 años	2016	3.295,6
Ambos sexos	Total	De 50 a 59 años	2015	3.118,7
Ambos sexos	Total	De 50 a 59 años	2014	2.910,7
Ambos sexos	Total	De 50 a 59 años	2013	2.781,3
Ambos sexos	Total	De 50 a 59 años	2012	2.776,8
Ambos sexos	Total	De 50 a 59 años	2011	2.789,4
Ambos sexos	Total	De 50 a 59 años	2010	2.681,1
Ambos sexos	Total	De 50 a 59 años	2009	2.601,5
Ambos sexos	Total	De 50 a 59 años	2008	2.575,7
Ambos sexos	Total	De 50 a 59 años	2007	2.486,5
Ambos sexos	Total	De 50 a 59 años	2006	2.313
Ambos sexos	Total	De 60 a 69 años	2023	1.374
Ambos sexos	Total	De 60 a 69 años	2022	1.276,3
Ambos sexos	Total	De 60 a 69 años	2021	1.172,9
Ambos sexos	Total	De 60 a 69 años	2020	1.051,7
Ambos sexos	Total	De 60 a 69 años	2019	960,6
Ambos sexos	Total	De 60 a 69 años	2018	868,1
Ambos sexos	Total	De 60 a 69 años	2017	809,8
Ambos sexos	Total	De 60 a 69 años	2016	737,4
Ambos sexos	Total	De 60 a 69 años	2015	673,1
Ambos sexos	Total	De 60 a 69 años	2014	605,6
Ambos sexos	Total	De 60 a 69 años	2013	558,1
Ambos sexos	Total	De 60 a 69 años	2012	567,5
Ambos sexos	Total	De 60 a 69 años	2011	581,3
Ambos sexos	Total	De 60 a 69 años	2010	561,2
Ambos sexos	Total	De 60 a 69 años	2009	565,9
Ambos sexos	Total	De 60 a 69 años	2008	561,1
Ambos sexos	Total	De 60 a 69 años	2007	535,9
Ambos sexos	Total	De 60 a 69 años	2006	502,7
Ambos sexos	Total	70 y más años	2023	15,5
Ambos sexos	Total	70 y más años	2022	15,5
Ambos sexos	Total	70 y más años	2021	12,6
Ambos sexos	Total	70 y más años	2020	15,7
Ambos sexos	Total	70 y más años	2019	15,7
Ambos sexos	Total	70 y más años	2018	13,4
Ambos sexos	Total	70 y más años	2017	12,5
Ambos sexos	Total	70 y más años	2016	10,4
Ambos sexos	Total	70 y más años	2015	9,1
Ambos sexos	Total	70 y más años	2014	9,9
Ambos sexos	Total	70 y más años	2013	11,1
Ambos sexos	Total	70 y más años	2012	14,5
Ambos sexos	Total	70 y más años	2011	14,8
Ambos sexos	Total	70 y más años	2010	13
Ambos sexos	Total	70 y más años	2009	10,7
Ambos sexos	Total	70 y más años	2008	11,5
Ambos sexos	Total	70 y más años	2007	14,3
Ambos sexos	Total	70 y más años	2006	11,5
Ambos sexos	De duración indefinida: Total	Total	2023	14.865,6
Ambos sexos	De duración indefinida: Total	Total	2022	13.664,7
Ambos sexos	De duración indefinida: Total	Total	2021	12.454,4
Ambos sexos	De duración indefinida: Total	Total	2020	12.232,3
Ambos sexos	De duración indefinida: Total	Total	2019	12.293,6
Ambos sexos	De duración indefinida: Total	Total	2018	11.882,3
Ambos sexos	De duración indefinida: Total	Total	2017	11.524,2
Ambos sexos	De duración indefinida: Total	Total	2016	11.260,3
Ambos sexos	De duración indefinida: Total	Total	2015	11.059,3
Ambos sexos	De duración indefinida: Total	Total	2014	10.857,1
Ambos sexos	De duración indefinida: Total	Total	2013	10.813,6
Ambos sexos	De duración indefinida: Total	Total	2012	11.162
Ambos sexos	De duración indefinida: Total	Total	2011	11.524,9
Ambos sexos	De duración indefinida: Total	Total	2010	11.734,8
Ambos sexos	De duración indefinida: Total	Total	2009	11.877,7
Ambos sexos	De duración indefinida: Total	Total	2008	11.954,8
Ambos sexos	De duración indefinida: Total	Total	2007	11.613,9
Ambos sexos	De duración indefinida: Total	Total	2006	10.825,3
Ambos sexos	De duración indefinida: Total	De 16 a 19 años	2023	59,9
Ambos sexos	De duración indefinida: Total	De 16 a 19 años	2022	41
Ambos sexos	De duración indefinida: Total	De 16 a 19 años	2021	15,1
Ambos sexos	De duración indefinida: Total	De 16 a 19 años	2020	16,5
Ambos sexos	De duración indefinida: Total	De 16 a 19 años	2019	18,5
Ambos sexos	De duración indefinida: Total	De 16 a 19 años	2018	17,8
Ambos sexos	De duración indefinida: Total	De 16 a 19 años	2017	16,6
Ambos sexos	De duración indefinida: Total	De 16 a 19 años	2016	10,5
Ambos sexos	De duración indefinida: Total	De 16 a 19 años	2015	9,7
Ambos sexos	De duración indefinida: Total	De 16 a 19 años	2014	9,9
Ambos sexos	De duración indefinida: Total	De 16 a 19 años	2013	10,9
Ambos sexos	De duración indefinida: Total	De 16 a 19 años	2012	12,4
Ambos sexos	De duración indefinida: Total	De 16 a 19 años	2011	18,3
Ambos sexos	De duración indefinida: Total	De 16 a 19 años	2010	28,9
Ambos sexos	De duración indefinida: Total	De 16 a 19 años	2009	48,8
Ambos sexos	De duración indefinida: Total	De 16 a 19 años	2008	69,4
Ambos sexos	De duración indefinida: Total	De 16 a 19 años	2007	74,4
Ambos sexos	De duración indefinida: Total	De 16 a 19 años	2006	62,9
Ambos sexos	De duración indefinida: Total	De 20 a 24 años	2023	533
Ambos sexos	De duración indefinida: Total	De 20 a 24 años	2022	396,6
Ambos sexos	De duración indefinida: Total	De 20 a 24 años	2021	270,6
Ambos sexos	De duración indefinida: Total	De 20 a 24 años	2020	261,8
Ambos sexos	De duración indefinida: Total	De 20 a 24 años	2019	280,7
Ambos sexos	De duración indefinida: Total	De 20 a 24 años	2018	250,7
Ambos sexos	De duración indefinida: Total	De 20 a 24 años	2017	214,2
Ambos sexos	De duración indefinida: Total	De 20 a 24 años	2016	196,3
Ambos sexos	De duración indefinida: Total	De 20 a 24 años	2015	208,3
Ambos sexos	De duración indefinida: Total	De 20 a 24 años	2014	199,2
Ambos sexos	De duración indefinida: Total	De 20 a 24 años	2013	232,6
Ambos sexos	De duración indefinida: Total	De 20 a 24 años	2012	282,2
Ambos sexos	De duración indefinida: Total	De 20 a 24 años	2011	356,6
Ambos sexos	De duración indefinida: Total	De 20 a 24 años	2010	438
Ambos sexos	De duración indefinida: Total	De 20 a 24 años	2009	525,9
Ambos sexos	De duración indefinida: Total	De 20 a 24 años	2008	626,8
Ambos sexos	De duración indefinida: Total	De 20 a 24 años	2007	621,3
Ambos sexos	De duración indefinida: Total	De 20 a 24 años	2006	578,9
Ambos sexos	De duración indefinida: Total	De 25 a 29 años	2023	1.230,3
Ambos sexos	De duración indefinida: Total	De 25 a 29 años	2022	1.034,4
Ambos sexos	De duración indefinida: Total	De 25 a 29 años	2021	806,8
Ambos sexos	De duración indefinida: Total	De 25 a 29 años	2020	828,8
Ambos sexos	De duración indefinida: Total	De 25 a 29 años	2019	839,1
Ambos sexos	De duración indefinida: Total	De 25 a 29 años	2018	808,2
Ambos sexos	De duración indefinida: Total	De 25 a 29 años	2017	763,7
Ambos sexos	De duración indefinida: Total	De 25 a 29 años	2016	755,9
Ambos sexos	De duración indefinida: Total	De 25 a 29 años	2015	769,1
Ambos sexos	De duración indefinida: Total	De 25 a 29 años	2014	820,2
Ambos sexos	De duración indefinida: Total	De 25 a 29 años	2013	853,1
Ambos sexos	De duración indefinida: Total	De 25 a 29 años	2012	967,1
Ambos sexos	De duración indefinida: Total	De 25 a 29 años	2011	1.093,3
Ambos sexos	De duración indefinida: Total	De 25 a 29 años	2010	1.238,9
Ambos sexos	De duración indefinida: Total	De 25 a 29 años	2009	1.348,8
Ambos sexos	De duración indefinida: Total	De 25 a 29 años	2008	1.446,5
Ambos sexos	De duración indefinida: Total	De 25 a 29 años	2007	1.483,4
Ambos sexos	De duración indefinida: Total	De 25 a 29 años	2006	1.399,7
Ambos sexos	De duración indefinida: Total	De 30 a 39 años	2023	3.346,6
Ambos sexos	De duración indefinida: Total	De 30 a 39 años	2022	3.074,4
Ambos sexos	De duración indefinida: Total	De 30 a 39 años	2021	2.823,6
Ambos sexos	De duración indefinida: Total	De 30 a 39 años	2020	2.848,1
Ambos sexos	De duración indefinida: Total	De 30 a 39 años	2019	2.987,9
Ambos sexos	De duración indefinida: Total	De 30 a 39 años	2018	2.995,7
Ambos sexos	De duración indefinida: Total	De 30 a 39 años	2017	3.066,5
Ambos sexos	De duración indefinida: Total	De 30 a 39 años	2016	3.177,5
Ambos sexos	De duración indefinida: Total	De 30 a 39 años	2015	3.232,2
Ambos sexos	De duración indefinida: Total	De 30 a 39 años	2014	3.323,4
Ambos sexos	De duración indefinida: Total	De 30 a 39 años	2013	3.403
Ambos sexos	De duración indefinida: Total	De 30 a 39 años	2012	3.545
Ambos sexos	De duración indefinida: Total	De 30 a 39 años	2011	3.672,4
Ambos sexos	De duración indefinida: Total	De 30 a 39 años	2010	3.750,2
Ambos sexos	De duración indefinida: Total	De 30 a 39 años	2009	3.779,4
Ambos sexos	De duración indefinida: Total	De 30 a 39 años	2008	3.797,8
Ambos sexos	De duración indefinida: Total	De 30 a 39 años	2007	3.678,7
Ambos sexos	De duración indefinida: Total	De 30 a 39 años	2006	3.388,5
Ambos sexos	De duración indefinida: Total	De 40 a 49 años	2023	4.556,1
Ambos sexos	De duración indefinida: Total	De 40 a 49 años	2022	4.351,7
Ambos sexos	De duración indefinida: Total	De 40 a 49 años	2021	4.089,9
Ambos sexos	De duración indefinida: Total	De 40 a 49 años	2020	4.002,7
Ambos sexos	De duración indefinida: Total	De 40 a 49 años	2019	4.034,7
Ambos sexos	De duración indefinida: Total	De 40 a 49 años	2018	3.924,7
Ambos sexos	De duración indefinida: Total	De 40 a 49 años	2017	3.752,4
Ambos sexos	De duración indefinida: Total	De 40 a 49 años	2016	3.628,6
Ambos sexos	De duración indefinida: Total	De 40 a 49 años	2015	3.515
Ambos sexos	De duración indefinida: Total	De 40 a 49 años	2014	3.399,8
Ambos sexos	De duración indefinida: Total	De 40 a 49 años	2013	3.342,7
Ambos sexos	De duración indefinida: Total	De 40 a 49 años	2012	3.374,8
Ambos sexos	De duración indefinida: Total	De 40 a 49 años	2011	3.398,6
Ambos sexos	De duración indefinida: Total	De 40 a 49 años	2010	3.408,9
Ambos sexos	De duración indefinida: Total	De 40 a 49 años	2009	3.377,1
Ambos sexos	De duración indefinida: Total	De 40 a 49 años	2008	3.310,9
Ambos sexos	De duración indefinida: Total	De 40 a 49 años	2007	3.187,6
Ambos sexos	De duración indefinida: Total	De 40 a 49 años	2006	3.032,8
Ambos sexos	De duración indefinida: Total	De 50 a 59 años	2023	3.887,3
Ambos sexos	De duración indefinida: Total	De 50 a 59 años	2022	3.614,7
Ambos sexos	De duración indefinida: Total	De 50 a 59 años	2021	3.400,7
Ambos sexos	De duración indefinida: Total	De 50 a 59 años	2020	3.321,2
Ambos sexos	De duración indefinida: Total	De 50 a 59 años	2019	3.273,8
Ambos sexos	De duración indefinida: Total	De 50 a 59 años	2018	3.096,9
Ambos sexos	De duración indefinida: Total	De 50 a 59 años	2017	2.967,8
Ambos sexos	De duración indefinida: Total	De 50 a 59 años	2016	2.822,2
Ambos sexos	De duración indefinida: Total	De 50 a 59 años	2015	2.703,7
Ambos sexos	De duración indefinida: Total	De 50 a 59 años	2014	2.539,7
Ambos sexos	De duración indefinida: Total	De 50 a 59 años	2013	2.454,9
Ambos sexos	De duración indefinida: Total	De 50 a 59 años	2012	2.457,8
Ambos sexos	De duración indefinida: Total	De 50 a 59 años	2011	2.455,9
Ambos sexos	De duración indefinida: Total	De 50 a 59 años	2010	2.356,4
Ambos sexos	De duración indefinida: Total	De 50 a 59 años	2009	2.276,9
Ambos sexos	De duración indefinida: Total	De 50 a 59 años	2008	2.194,7
Ambos sexos	De duración indefinida: Total	De 50 a 59 años	2007	2.091,6
Ambos sexos	De duración indefinida: Total	De 50 a 59 años	2006	1.921,2
Ambos sexos	De duración indefinida: Total	De 60 a 69 años	2023	1.239,5
Ambos sexos	De duración indefinida: Total	De 60 a 69 años	2022	1.138,7
Ambos sexos	De duración indefinida: Total	De 60 a 69 años	2021	1.036,9
Ambos sexos	De duración indefinida: Total	De 60 a 69 años	2020	938,9
Ambos sexos	De duración indefinida: Total	De 60 a 69 años	2019	845,4
Ambos sexos	De duración indefinida: Total	De 60 a 69 años	2018	777,6
Ambos sexos	De duración indefinida: Total	De 60 a 69 años	2017	732
Ambos sexos	De duración indefinida: Total	De 60 a 69 años	2016	660,9
Ambos sexos	De duración indefinida: Total	De 60 a 69 años	2015	613,5
Ambos sexos	De duración indefinida: Total	De 60 a 69 años	2014	556,3
Ambos sexos	De duración indefinida: Total	De 60 a 69 años	2013	507,5
Ambos sexos	De duración indefinida: Total	De 60 a 69 años	2012	510,6
Ambos sexos	De duración indefinida: Total	De 60 a 69 años	2011	518,6
Ambos sexos	De duración indefinida: Total	De 60 a 69 años	2010	503,6
Ambos sexos	De duración indefinida: Total	De 60 a 69 años	2009	512,5
Ambos sexos	De duración indefinida: Total	De 60 a 69 años	2008	500
Ambos sexos	De duración indefinida: Total	De 60 a 69 años	2007	466,9
Ambos sexos	De duración indefinida: Total	De 60 a 69 años	2006	432,2
Ambos sexos	De duración indefinida: Total	70 y más años	2023	13
Ambos sexos	De duración indefinida: Total	70 y más años	2022	13,3
Ambos sexos	De duración indefinida: Total	70 y más años	2021	10,7
Ambos sexos	De duración indefinida: Total	70 y más años	2020	14,2
Ambos sexos	De duración indefinida: Total	70 y más años	2019	13,5
Ambos sexos	De duración indefinida: Total	70 y más años	2018	10,6
Ambos sexos	De duración indefinida: Total	70 y más años	2017	10,9
Ambos sexos	De duración indefinida: Total	70 y más años	2016	8,4
Ambos sexos	De duración indefinida: Total	70 y más años	2015	7,8
Ambos sexos	De duración indefinida: Total	70 y más años	2014	8,7
Ambos sexos	De duración indefinida: Total	70 y más años	2013	8,9
Ambos sexos	De duración indefinida: Total	70 y más años	2012	11,9
Ambos sexos	De duración indefinida: Total	70 y más años	2011	11,2
Ambos sexos	De duración indefinida: Total	70 y más años	2010	10
Ambos sexos	De duración indefinida: Total	70 y más años	2009	8,2
Ambos sexos	De duración indefinida: Total	70 y más años	2008	8,7
Ambos sexos	De duración indefinida: Total	70 y más años	2007	10,1
Ambos sexos	De duración indefinida: Total	70 y más años	2006	9,1
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	Total	2023	14.222,4
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	Total	2022	13.161,1
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	Total	2021	12.105,1
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	Total	2020	11.896,1
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	Total	2019	11.920,8
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	Total	2018	11.530,1
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	Total	2017	11.184,5
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	Total	2016	10.946
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	Total	2015	10.779,5
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	Total	2014	10.586
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	Total	2013	10.550,1
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	Total	2012	10.903,9
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	Total	2011	11.266,6
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	Total	2010	11.495,5
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	Total	2009	11.654,7
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	Total	2008	11.731,6
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	Total	2007	11.370,1
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	Total	2006	10.619,5
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 16 a 19 años	2023	52,1
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 16 a 19 años	2022	35,8
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 16 a 19 años	2021	14,2
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 16 a 19 años	2020	15,6
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 16 a 19 años	2019	17,1
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 16 a 19 años	2018	16,5
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 16 a 19 años	2017	16
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 16 a 19 años	2016	10,1
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 16 a 19 años	2015	9,4
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 16 a 19 años	2014	9,7
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 16 a 19 años	2013	10,4
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 16 a 19 años	2012	12,2
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 16 a 19 años	2011	17
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 16 a 19 años	2010	28,1
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 16 a 19 años	2009	46,3
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 16 a 19 años	2008	67,1
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 16 a 19 años	2007	72,3
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 16 a 19 años	2006	59,6
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 20 a 24 años	2023	479
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 20 a 24 años	2022	368,2
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 20 a 24 años	2021	262,1
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 20 a 24 años	2020	252,7
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 20 a 24 años	2019	270,8
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 20 a 24 años	2018	240,7
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 20 a 24 años	2017	205
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 20 a 24 años	2016	189,5
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 20 a 24 años	2015	201,7
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 20 a 24 años	2014	194,1
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 20 a 24 años	2013	222,7
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 20 a 24 años	2012	272,9
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 20 a 24 años	2011	345,2
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 20 a 24 años	2010	427,2
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 20 a 24 años	2009	516,3
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 20 a 24 años	2008	617,5
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 20 a 24 años	2007	607
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 20 a 24 años	2006	567,1
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 25 a 29 años	2023	1.168,7
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 25 a 29 años	2022	992,8
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 25 a 29 años	2021	783,4
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 25 a 29 años	2020	801,1
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 25 a 29 años	2019	810,8
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 25 a 29 años	2018	780,9
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 25 a 29 años	2017	737
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 25 a 29 años	2016	731,5
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 25 a 29 años	2015	750,8
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 25 a 29 años	2014	801,3
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 25 a 29 años	2013	829,7
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 25 a 29 años	2012	941
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 25 a 29 años	2011	1.071,6
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 25 a 29 años	2010	1.219,7
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 25 a 29 años	2009	1.328,3
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 25 a 29 años	2008	1.426,2
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 25 a 29 años	2007	1.455,2
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 25 a 29 años	2006	1.378,2
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 30 a 39 años	2023	3.201,9
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 30 a 39 años	2022	2.967
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 30 a 39 años	2021	2.746,6
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 30 a 39 años	2020	2.772
Ambos sexos	De duración indefinida: Permanente a lo largo del tiempo	De 30 a 39 años	2019	2.905,8
