Sexo	Edad	Nivel de formación alcanzado	Periodo	Total
Ambos sexos	De 16 a 19 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2019	13,9
Ambos sexos	De 16 a 19 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2018	13,4
Ambos sexos	De 16 a 19 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2017	11,6
Ambos sexos	De 16 a 19 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2016	11,9
Ambos sexos	De 16 a 19 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2015	15,7
Ambos sexos	De 16 a 19 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2014	15,1
Ambos sexos	De 16 a 19 años	Educación superior	2023	1,1
Ambos sexos	De 16 a 19 años	Educación superior	2022	1,3
Ambos sexos	De 16 a 19 años	Educación superior	2021	0,8
Ambos sexos	De 16 a 19 años	Educación superior	2020	1
Ambos sexos	De 16 a 19 años	Educación superior	2019	1,1
Ambos sexos	De 16 a 19 años	Educación superior	2018	1,5
Ambos sexos	De 16 a 19 años	Educación superior	2017	0,7
Ambos sexos	De 16 a 19 años	Educación superior	2016	0,9
Ambos sexos	De 16 a 19 años	Educación superior	2015	1,7
Ambos sexos	De 16 a 19 años	Educación superior	2014	0,6
Ambos sexos	De 20 a 24 años	Total	2023	359,6
Ambos sexos	De 20 a 24 años	Total	2022	348,6
Ambos sexos	De 20 a 24 años	Total	2021	399,1
Ambos sexos	De 20 a 24 años	Total	2020	421,3
Ambos sexos	De 20 a 24 años	Total	2019	376,6
Ambos sexos	De 20 a 24 años	Total	2018	384,8
Ambos sexos	De 20 a 24 años	Total	2017	436,7
Ambos sexos	De 20 a 24 años	Total	2016	512,3
Ambos sexos	De 20 a 24 años	Total	2015	578,6
Ambos sexos	De 20 a 24 años	Total	2014	677,7
Ambos sexos	De 20 a 24 años	Analfabetos	2023	..
Ambos sexos	De 20 a 24 años	Analfabetos	2022	1,4
Ambos sexos	De 20 a 24 años	Analfabetos	2021	0,1
Ambos sexos	De 20 a 24 años	Analfabetos	2020	0,2
Ambos sexos	De 20 a 24 años	Analfabetos	2019	0,1
Ambos sexos	De 20 a 24 años	Analfabetos	2018	0,6
Ambos sexos	De 20 a 24 años	Analfabetos	2017	0,2
Ambos sexos	De 20 a 24 años	Analfabetos	2016	0,9
Ambos sexos	De 20 a 24 años	Analfabetos	2015	0,5
Ambos sexos	De 20 a 24 años	Analfabetos	2014	0,2
Ambos sexos	De 20 a 24 años	Estudios primarios incompletos	2023	1,8
Ambos sexos	De 20 a 24 años	Estudios primarios incompletos	2022	0,3
Ambos sexos	De 20 a 24 años	Estudios primarios incompletos	2021	0,8
Ambos sexos	De 20 a 24 años	Estudios primarios incompletos	2020	2,6
Ambos sexos	De 20 a 24 años	Estudios primarios incompletos	2019	3
Ambos sexos	De 20 a 24 años	Estudios primarios incompletos	2018	2,7
Ambos sexos	De 20 a 24 años	Estudios primarios incompletos	2017	2,8
Ambos sexos	De 20 a 24 años	Estudios primarios incompletos	2016	3,8
Ambos sexos	De 20 a 24 años	Estudios primarios incompletos	2015	3,6
Ambos sexos	De 20 a 24 años	Estudios primarios incompletos	2014	5,5
Ambos sexos	De 20 a 24 años	Educación primaria	2023	23,5
Ambos sexos	De 20 a 24 años	Educación primaria	2022	17,8
Ambos sexos	De 20 a 24 años	Educación primaria	2021	19,1
Ambos sexos	De 20 a 24 años	Educación primaria	2020	24
Ambos sexos	De 20 a 24 años	Educación primaria	2019	24,2
Ambos sexos	De 20 a 24 años	Educación primaria	2018	28,6
Ambos sexos	De 20 a 24 años	Educación primaria	2017	28,5
Ambos sexos	De 20 a 24 años	Educación primaria	2016	39,4
Ambos sexos	De 20 a 24 años	Educación primaria	2015	49
Ambos sexos	De 20 a 24 años	Educación primaria	2014	70,1
Ambos sexos	De 20 a 24 años	Primera etapa de educación secundaria y similar	2023	106,7
Ambos sexos	De 20 a 24 años	Primera etapa de educación secundaria y similar	2022	110,1
Ambos sexos	De 20 a 24 años	Primera etapa de educación secundaria y similar	2021	119,7
Ambos sexos	De 20 a 24 años	Primera etapa de educación secundaria y similar	2020	133
Ambos sexos	De 20 a 24 años	Primera etapa de educación secundaria y similar	2019	129,7
Ambos sexos	De 20 a 24 años	Primera etapa de educación secundaria y similar	2018	146
Ambos sexos	De 20 a 24 años	Primera etapa de educación secundaria y similar	2017	164,1
Ambos sexos	De 20 a 24 años	Primera etapa de educación secundaria y similar	2016	194,1
Ambos sexos	De 20 a 24 años	Primera etapa de educación secundaria y similar	2015	224,2
Ambos sexos	De 20 a 24 años	Primera etapa de educación secundaria y similar	2014	268
Ambos sexos	De 20 a 24 años	Segunda etapa de educación secundaria, con orientación general	2023	75
Ambos sexos	De 20 a 24 años	Segunda etapa de educación secundaria, con orientación general	2022	76,6
Ambos sexos	De 20 a 24 años	Segunda etapa de educación secundaria, con orientación general	2021	89,1
Ambos sexos	De 20 a 24 años	Segunda etapa de educación secundaria, con orientación general	2020	87,8
Ambos sexos	De 20 a 24 años	Segunda etapa de educación secundaria, con orientación general	2019	75,7
Ambos sexos	De 20 a 24 años	Segunda etapa de educación secundaria, con orientación general	2018	74,3
Ambos sexos	De 20 a 24 años	Segunda etapa de educación secundaria, con orientación general	2017	79
Ambos sexos	De 20 a 24 años	Segunda etapa de educación secundaria, con orientación general	2016	87,7
Ambos sexos	De 20 a 24 años	Segunda etapa de educación secundaria, con orientación general	2015	90
Ambos sexos	De 20 a 24 años	Segunda etapa de educación secundaria, con orientación general	2014	109,8
Ambos sexos	De 20 a 24 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2023	55,1
Ambos sexos	De 20 a 24 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2022	51,5
Ambos sexos	De 20 a 24 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2021	64,6
Ambos sexos	De 20 a 24 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2020	63,2
Ambos sexos	De 20 a 24 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2019	61,4
Ambos sexos	De 20 a 24 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2018	55,2
Ambos sexos	De 20 a 24 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2017	69,9
Ambos sexos	De 20 a 24 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2016	79,6
Ambos sexos	De 20 a 24 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2015	94,5
Ambos sexos	De 20 a 24 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2014	95,8
Ambos sexos	De 20 a 24 años	Educación superior	2023	97,6
Ambos sexos	De 20 a 24 años	Educación superior	2022	91
Ambos sexos	De 20 a 24 años	Educación superior	2021	105,7
Ambos sexos	De 20 a 24 años	Educación superior	2020	110,5
Ambos sexos	De 20 a 24 años	Educación superior	2019	82,5
Ambos sexos	De 20 a 24 años	Educación superior	2018	77,4
Ambos sexos	De 20 a 24 años	Educación superior	2017	92,2
Ambos sexos	De 20 a 24 años	Educación superior	2016	106,8
Ambos sexos	De 20 a 24 años	Educación superior	2015	116,9
Ambos sexos	De 20 a 24 años	Educación superior	2014	128,4
Ambos sexos	De 25 a 29 años	Total	2023	343,1
Ambos sexos	De 25 a 29 años	Total	2022	355,6
Ambos sexos	De 25 a 29 años	Total	2021	458,6
Ambos sexos	De 25 a 29 años	Total	2020	473,8
Ambos sexos	De 25 a 29 años	Total	2019	398,7
Ambos sexos	De 25 a 29 años	Total	2018	427,7
Ambos sexos	De 25 a 29 años	Total	2017	484,9
Ambos sexos	De 25 a 29 años	Total	2016	547,9
Ambos sexos	De 25 a 29 años	Total	2015	629,2
Ambos sexos	De 25 a 29 años	Total	2014	703,8
Ambos sexos	De 25 a 29 años	Analfabetos	2023	0,3
Ambos sexos	De 25 a 29 años	Analfabetos	2022	0,4
Ambos sexos	De 25 a 29 años	Analfabetos	2021	0,1
Ambos sexos	De 25 a 29 años	Analfabetos	2020	0,6
Ambos sexos	De 25 a 29 años	Analfabetos	2019	0,3
Ambos sexos	De 25 a 29 años	Analfabetos	2018	1,2
Ambos sexos	De 25 a 29 años	Analfabetos	2017	1,4
Ambos sexos	De 25 a 29 años	Analfabetos	2016	1,8
Ambos sexos	De 25 a 29 años	Analfabetos	2015	2,4
Ambos sexos	De 25 a 29 años	Analfabetos	2014	1,6
Ambos sexos	De 25 a 29 años	Estudios primarios incompletos	2023	0,7
Ambos sexos	De 25 a 29 años	Estudios primarios incompletos	2022	2,3
Ambos sexos	De 25 a 29 años	Estudios primarios incompletos	2021	2,4
Ambos sexos	De 25 a 29 años	Estudios primarios incompletos	2020	3
Ambos sexos	De 25 a 29 años	Estudios primarios incompletos	2019	2,4
Ambos sexos	De 25 a 29 años	Estudios primarios incompletos	2018	4,7
Ambos sexos	De 25 a 29 años	Estudios primarios incompletos	2017	4,3
Ambos sexos	De 25 a 29 años	Estudios primarios incompletos	2016	4,5
Ambos sexos	De 25 a 29 años	Estudios primarios incompletos	2015	6,4
Ambos sexos	De 25 a 29 años	Estudios primarios incompletos	2014	7,8
Ambos sexos	De 25 a 29 años	Educación primaria	2023	20,7
Ambos sexos	De 25 a 29 años	Educación primaria	2022	22,8
Ambos sexos	De 25 a 29 años	Educación primaria	2021	30,5
Ambos sexos	De 25 a 29 años	Educación primaria	2020	28,1
Ambos sexos	De 25 a 29 años	Educación primaria	2019	29,1
Ambos sexos	De 25 a 29 años	Educación primaria	2018	30,7
Ambos sexos	De 25 a 29 años	Educación primaria	2017	45,1
Ambos sexos	De 25 a 29 años	Educación primaria	2016	53,5
Ambos sexos	De 25 a 29 años	Educación primaria	2015	66,7
Ambos sexos	De 25 a 29 años	Educación primaria	2014	65,8
Ambos sexos	De 25 a 29 años	Primera etapa de educación secundaria y similar	2023	97,7
Ambos sexos	De 25 a 29 años	Primera etapa de educación secundaria y similar	2022	96,2
Ambos sexos	De 25 a 29 años	Primera etapa de educación secundaria y similar	2021	133,1
Ambos sexos	De 25 a 29 años	Primera etapa de educación secundaria y similar	2020	132,9
Ambos sexos	De 25 a 29 años	Primera etapa de educación secundaria y similar	2019	122,6
Ambos sexos	De 25 a 29 años	Primera etapa de educación secundaria y similar	2018	139,2
Ambos sexos	De 25 a 29 años	Primera etapa de educación secundaria y similar	2017	169,1
Ambos sexos	De 25 a 29 años	Primera etapa de educación secundaria y similar	2016	188
Ambos sexos	De 25 a 29 años	Primera etapa de educación secundaria y similar	2015	223,8
Ambos sexos	De 25 a 29 años	Primera etapa de educación secundaria y similar	2014	248,7
Ambos sexos	De 25 a 29 años	Segunda etapa de educación secundaria, con orientación general	2023	51,7
Ambos sexos	De 25 a 29 años	Segunda etapa de educación secundaria, con orientación general	2022	42,3
Ambos sexos	De 25 a 29 años	Segunda etapa de educación secundaria, con orientación general	2021	54,8
Ambos sexos	De 25 a 29 años	Segunda etapa de educación secundaria, con orientación general	2020	64,3
Ambos sexos	De 25 a 29 años	Segunda etapa de educación secundaria, con orientación general	2019	40,5
Ambos sexos	De 25 a 29 años	Segunda etapa de educación secundaria, con orientación general	2018	50,1
Ambos sexos	De 25 a 29 años	Segunda etapa de educación secundaria, con orientación general	2017	52,3
Ambos sexos	De 25 a 29 años	Segunda etapa de educación secundaria, con orientación general	2016	52
Ambos sexos	De 25 a 29 años	Segunda etapa de educación secundaria, con orientación general	2015	66
Ambos sexos	De 25 a 29 años	Segunda etapa de educación secundaria, con orientación general	2014	70,8
Ambos sexos	De 25 a 29 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2023	40,8
Ambos sexos	De 25 a 29 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2022	46,7
Ambos sexos	De 25 a 29 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2021	58,8
Ambos sexos	De 25 a 29 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2020	51,8
Ambos sexos	De 25 a 29 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2019	51,4
Ambos sexos	De 25 a 29 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2018	51,2
Ambos sexos	De 25 a 29 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2017	54
Ambos sexos	De 25 a 29 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2016	67
Ambos sexos	De 25 a 29 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2015	72,8
Ambos sexos	De 25 a 29 años	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2014	76,8
Ambos sexos	De 25 a 29 años	Educación superior	2023	131,2
Ambos sexos	De 25 a 29 años	Educación superior	2022	144,9
Ambos sexos	De 25 a 29 años	Educación superior	2021	179
Ambos sexos	De 25 a 29 años	Educación superior	2020	193,2
Ambos sexos	De 25 a 29 años	Educación superior	2019	152,3
Ambos sexos	De 25 a 29 años	Educación superior	2018	150,6
Ambos sexos	De 25 a 29 años	Educación superior	2017	158,6
Ambos sexos	De 25 a 29 años	Educación superior	2016	181,2
Ambos sexos	De 25 a 29 años	Educación superior	2015	191
Ambos sexos	De 25 a 29 años	Educación superior	2014	232,4
Ambos sexos	De 30 a 44 años	Total	2023	904,3
Ambos sexos	De 30 a 44 años	Total	2022	978,1
Ambos sexos	De 30 a 44 años	Total	2021	1.133
Ambos sexos	De 30 a 44 años	Total	2020	1.217,6
Ambos sexos	De 30 a 44 años	Total	2019	1.093,3
Ambos sexos	De 30 a 44 años	Total	2018	1.206,3
Ambos sexos	De 30 a 44 años	Total	2017	1.389,5
Ambos sexos	De 30 a 44 años	Total	2016	1.660,7
Ambos sexos	De 30 a 44 años	Total	2015	1.917,3
Ambos sexos	De 30 a 44 años	Total	2014	2.209,5
Ambos sexos	De 30 a 44 años	Analfabetos	2023	7,4
Ambos sexos	De 30 a 44 años	Analfabetos	2022	9,4
Ambos sexos	De 30 a 44 años	Analfabetos	2021	9,8
Ambos sexos	De 30 a 44 años	Analfabetos	2020	9,7
Ambos sexos	De 30 a 44 años	Analfabetos	2019	7,9
Ambos sexos	De 30 a 44 años	Analfabetos	2018	7,8
Ambos sexos	De 30 a 44 años	Analfabetos	2017	10,5
Ambos sexos	De 30 a 44 años	Analfabetos	2016	9,7
Ambos sexos	De 30 a 44 años	Analfabetos	2015	13,5
Ambos sexos	De 30 a 44 años	Analfabetos	2014	14,4
Ambos sexos	De 30 a 44 años	Estudios primarios incompletos	2023	15,8
Ambos sexos	De 30 a 44 años	Estudios primarios incompletos	2022	19
Ambos sexos	De 30 a 44 años	Estudios primarios incompletos	2021	19,1
Ambos sexos	De 30 a 44 años	Estudios primarios incompletos	2020	23,3
Ambos sexos	De 30 a 44 años	Estudios primarios incompletos	2019	23
Ambos sexos	De 30 a 44 años	Estudios primarios incompletos	2018	23,8
Ambos sexos	De 30 a 44 años	Estudios primarios incompletos	2017	26,5
Ambos sexos	De 30 a 44 años	Estudios primarios incompletos	2016	29,5
Ambos sexos	De 30 a 44 años	Estudios primarios incompletos	2015	45,9
Ambos sexos	De 30 a 44 años	Estudios primarios incompletos	2014	43,4
Ambos sexos	De 30 a 44 años	Educación primaria	2023	80,6
Ambos sexos	De 30 a 44 años	Educación primaria	2022	76,1
Ambos sexos	De 30 a 44 años	Educación primaria	2021	73,6
Ambos sexos	De 30 a 44 años	Educación primaria	2020	81
Ambos sexos	De 30 a 44 años	Educación primaria	2019	85
Ambos sexos	De 30 a 44 años	Educación primaria	2018	96,9
Ambos sexos	De 30 a 44 años	Educación primaria	2017	106,6
Ambos sexos	De 30 a 44 años	Educación primaria	2016	137,1
Ambos sexos	De 30 a 44 años	Educación primaria	2015	144,9
Ambos sexos	De 30 a 44 años	Educación primaria	2014	182,9
Ambos sexos	De 30 a 44 años	Primera etapa de educación secundaria y similar	2023	311,5
Ambos sexos	De 30 a 44 años	Primera etapa de educación secundaria y similar	2022	348,6
Ambos sexos	De 30 a 44 años	Primera etapa de educación secundaria y similar	2021	406,5
Ambos sexos	De 30 a 44 años	Primera etapa de educación secundaria y similar	2020	408,9
Ambos sexos	De 30 a 44 años	Primera etapa de educación secundaria y similar	2019	392,5
Ambos sexos	De 30 a 44 años	Primera etapa de educación secundaria y similar	2018	450,1
Ambos sexos	De 30 a 44 años	Primera etapa de educación secundaria y similar	2017	533,4
Ambos sexos	De 30 a 44 años	Primera etapa de educación secundaria y similar	2016	622,8
Ambos sexos	De 30 a 44 años	Primera etapa de educación secundaria y similar	2015	711,7
Ambos sexos	De 30 a 44 años	Primera etapa de educación secundaria y similar	2014	829,6
Ambos sexos	De 30 a 44 años	Segunda etapa de educación secundaria, con orientación general	2023	105,5
Ambos sexos	De 30 a 44 años	Segunda etapa de educación secundaria, con orientación general	2022	135
Ambos sexos	De 30 a 44 años	Segunda etapa de educación secundaria, con orientación general	2021	150,2
Ambos sexos	De 30 a 44 años	Segunda etapa de educación secundaria, con orientación general	2020	175,4
Ambos sexos	De 30 a 44 años	Segunda etapa de educación secundaria, con orientación general	2019	158,5
Ambos sexos	De 30 a 44 años	Segunda etapa de educación secundaria, con orientación general	2018	172,5
Ambos sexos	De 30 a 44 años	Segunda etapa de educación secundaria, con orientación general	2017	192,5
Ambos sexos	De 30 a 44 años	Segunda etapa de educación secundaria, con orientación general	2016	231
