Rama de actividad - CNAE2009	Sexo	Tipo de dato	Periodo	Total
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2021	818
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2020	765,3
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2019	797,3
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2018	812,6
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2017	819,5
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2016	774,5
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2015	736,8
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2014	735,8
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2013	736,6
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2012	743,4
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2011	755,3
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2010	786,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2009	788,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Valor absoluto	2008	828,2
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2023	3,6
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2022	3,9
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2021	4,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2020	4
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2019	4
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2018	4,2
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2017	4,4
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2016	4,2
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2015	4,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2014	4,2
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2013	4,3
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2012	4,2
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2011	4,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2010	4,2
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2009	4,1
A Agricultura, ganadería, silvicultura y pesca	Ambos sexos	Porcentaje	2008	4
A Agricultura, ganadería, silvicultura y pesca	Hombres	Valor absoluto	2023	577,9
A Agricultura, ganadería, silvicultura y pesca	Hombres	Valor absoluto	2022	613,8
A Agricultura, ganadería, silvicultura y pesca	Hombres	Valor absoluto	2021	623,2
A Agricultura, ganadería, silvicultura y pesca	Hombres	Valor absoluto	2020	593,9
A Agricultura, ganadería, silvicultura y pesca	Hombres	Valor absoluto	2019	612,3
A Agricultura, ganadería, silvicultura y pesca	Hombres	Valor absoluto	2018	621,4
A Agricultura, ganadería, silvicultura y pesca	Hombres	Valor absoluto	2017	624,7
A Agricultura, ganadería, silvicultura y pesca	Hombres	Valor absoluto	2016	595,9
A Agricultura, ganadería, silvicultura y pesca	Hombres	Valor absoluto	2015	565,8
A Agricultura, ganadería, silvicultura y pesca	Hombres	Valor absoluto	2014	558,4
A Agricultura, ganadería, silvicultura y pesca	Hombres	Valor absoluto	2013	561,1
A Agricultura, ganadería, silvicultura y pesca	Hombres	Valor absoluto	2012	549,6
A Agricultura, ganadería, silvicultura y pesca	Hombres	Valor absoluto	2011	557,5
A Agricultura, ganadería, silvicultura y pesca	Hombres	Valor absoluto	2010	583,1
A Agricultura, ganadería, silvicultura y pesca	Hombres	Valor absoluto	2009	582,9
A Agricultura, ganadería, silvicultura y pesca	Hombres	Valor absoluto	2008	605,5
A Agricultura, ganadería, silvicultura y pesca	Hombres	Porcentaje	2023	5,1
A Agricultura, ganadería, silvicultura y pesca	Hombres	Porcentaje	2022	5,5
A Agricultura, ganadería, silvicultura y pesca	Hombres	Porcentaje	2021	5,8
A Agricultura, ganadería, silvicultura y pesca	Hombres	Porcentaje	2020	5,7
A Agricultura, ganadería, silvicultura y pesca	Hombres	Porcentaje	2019	5,7
A Agricultura, ganadería, silvicultura y pesca	Hombres	Porcentaje	2018	5,9
A Agricultura, ganadería, silvicultura y pesca	Hombres	Porcentaje	2017	6,1
A Agricultura, ganadería, silvicultura y pesca	Hombres	Porcentaje	2016	6
A Agricultura, ganadería, silvicultura y pesca	Hombres	Porcentaje	2015	5,8
A Agricultura, ganadería, silvicultura y pesca	Hombres	Porcentaje	2014	5,9
A Agricultura, ganadería, silvicultura y pesca	Hombres	Porcentaje	2013	6
A Agricultura, ganadería, silvicultura y pesca	Hombres	Porcentaje	2012	5,7
A Agricultura, ganadería, silvicultura y pesca	Hombres	Porcentaje	2011	5,5
A Agricultura, ganadería, silvicultura y pesca	Hombres	Porcentaje	2010	5,6
A Agricultura, ganadería, silvicultura y pesca	Hombres	Porcentaje	2009	5,4
A Agricultura, ganadería, silvicultura y pesca	Hombres	Porcentaje	2008	5,1
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Valor absoluto	2023	189,4
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Valor absoluto	2022	184,6
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Valor absoluto	2021	194,8
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Valor absoluto	2020	171,4
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Valor absoluto	2019	185
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Valor absoluto	2018	191,2
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Valor absoluto	2017	194,8
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Valor absoluto	2016	178,7
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Valor absoluto	2015	171
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Valor absoluto	2014	177,4
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Valor absoluto	2013	175,4
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Valor absoluto	2012	193,8
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Valor absoluto	2011	197,8
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Valor absoluto	2010	203
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Valor absoluto	2009	205,2
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Valor absoluto	2008	222,7
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Porcentaje	2023	1,9
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Porcentaje	2022	2
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Porcentaje	2021	2,1
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Porcentaje	2020	2
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Porcentaje	2019	2
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Porcentaje	2018	2,2
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Porcentaje	2017	2,3
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Porcentaje	2016	2,1
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Porcentaje	2015	2,1
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Porcentaje	2014	2,2
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Porcentaje	2013	2,2
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Porcentaje	2012	2,4
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Porcentaje	2011	2,4
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Porcentaje	2010	2,4
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Porcentaje	2009	2,5
A Agricultura, ganadería, silvicultura y pesca	Mujeres	Porcentaje	2008	2,6
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Valor absoluto	2023	692,5
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Valor absoluto	2022	727,2
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Valor absoluto	2021	753,5
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Valor absoluto	2020	697,8
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Valor absoluto	2019	729,8
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Valor absoluto	2018	743,3
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Valor absoluto	2017	749,7
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Valor absoluto	2016	712
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Valor absoluto	2015	678,7
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Valor absoluto	2014	677,6
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Valor absoluto	2013	676
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Valor absoluto	2012	678,5
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Valor absoluto	2011	689,4
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Valor absoluto	2010	716,6
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Valor absoluto	2009	713,8
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Valor absoluto	2008	747,3
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Porcentaje	2023	3,3
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Porcentaje	2022	3,5
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Porcentaje	2021	3,8
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Porcentaje	2020	3,6
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Porcentaje	2019	3,7
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Porcentaje	2018	3,8
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Porcentaje	2017	4
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Porcentaje	2016	3,9
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Porcentaje	2015	3,8
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Porcentaje	2014	3,9
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Porcentaje	2013	3,9
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Porcentaje	2012	3,8
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Porcentaje	2011	3,7
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Porcentaje	2010	3,8
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Porcentaje	2009	3,7
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Ambos sexos	Porcentaje	2008	3,7
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Valor absoluto	2023	512,8
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Valor absoluto	2022	552,1
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Valor absoluto	2021	567
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Valor absoluto	2020	532,7
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Valor absoluto	2019	552,2
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Valor absoluto	2018	560,1
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Valor absoluto	2017	563
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Valor absoluto	2016	541,2
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Valor absoluto	2015	513,8
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Valor absoluto	2014	505,7
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Valor absoluto	2013	507,8
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Valor absoluto	2012	492,5
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Valor absoluto	2011	501,5
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Valor absoluto	2010	523
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Valor absoluto	2009	518,5
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Valor absoluto	2008	536,8
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Porcentaje	2023	4,5
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Porcentaje	2022	5
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Porcentaje	2021	5,3
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Porcentaje	2020	5,1
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Porcentaje	2019	5,1
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Porcentaje	2018	5,3
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Porcentaje	2017	5,5
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Porcentaje	2016	5,4
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Porcentaje	2015	5,3
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Porcentaje	2014	5,4
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Porcentaje	2013	5,5
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Porcentaje	2012	5,1
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Porcentaje	2011	4,9
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Porcentaje	2010	5
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Porcentaje	2009	4,8
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Hombres	Porcentaje	2008	4,5
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Valor absoluto	2023	179,7
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Valor absoluto	2022	175,1
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Valor absoluto	2021	186,5
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Valor absoluto	2020	165,1
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Valor absoluto	2019	177,6
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Valor absoluto	2018	183,1
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Valor absoluto	2017	186,7
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Valor absoluto	2016	170,8
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Valor absoluto	2015	164,9
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Valor absoluto	2014	171,9
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Valor absoluto	2013	168,2
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Valor absoluto	2012	186
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Valor absoluto	2011	187,9
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Valor absoluto	2010	193,6
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Valor absoluto	2009	195,3
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Valor absoluto	2008	210,5
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Porcentaje	2023	1,8
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Porcentaje	2022	1,9
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Porcentaje	2021	2
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Porcentaje	2020	1,9
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Porcentaje	2019	2
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Porcentaje	2018	2,1
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Porcentaje	2017	2,2
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Porcentaje	2016	2
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Porcentaje	2015	2
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Porcentaje	2014	2,2
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Porcentaje	2013	2,2
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Porcentaje	2012	2,3
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Porcentaje	2011	2,3
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Porcentaje	2010	2,3
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Porcentaje	2009	2,3
01 Agricultura, ganadería, caza y servicios relacionados con las mismas	Mujeres	Porcentaje	2008	2,4
02 Silvicultura y explotación forestal	Ambos sexos	Valor absoluto	2023	38,9
02 Silvicultura y explotación forestal	Ambos sexos	Valor absoluto	2022	33,6
02 Silvicultura y explotación forestal	Ambos sexos	Valor absoluto	2021	28,9
02 Silvicultura y explotación forestal	Ambos sexos	Valor absoluto	2020	26,1
02 Silvicultura y explotación forestal	Ambos sexos	Valor absoluto	2019	28,3
02 Silvicultura y explotación forestal	Ambos sexos	Valor absoluto	2018	29,6
02 Silvicultura y explotación forestal	Ambos sexos	Valor absoluto	2017	29,1
02 Silvicultura y explotación forestal	Ambos sexos	Valor absoluto	2016	26
02 Silvicultura y explotación forestal	Ambos sexos	Valor absoluto	2015	26,3
02 Silvicultura y explotación forestal	Ambos sexos	Valor absoluto	2014	24,8
02 Silvicultura y explotación forestal	Ambos sexos	Valor absoluto	2013	23,3
02 Silvicultura y explotación forestal	Ambos sexos	Valor absoluto	2012	25
02 Silvicultura y explotación forestal	Ambos sexos	Valor absoluto	2011	31,9
02 Silvicultura y explotación forestal	Ambos sexos	Valor absoluto	2010	32,5
02 Silvicultura y explotación forestal	Ambos sexos	Valor absoluto	2009	31,7
02 Silvicultura y explotación forestal	Ambos sexos	Valor absoluto	2008	32,1
02 Silvicultura y explotación forestal	Ambos sexos	Porcentaje	2023	0,2
02 Silvicultura y explotación forestal	Ambos sexos	Porcentaje	2022	0,2
02 Silvicultura y explotación forestal	Ambos sexos	Porcentaje	2021	0,1
02 Silvicultura y explotación forestal	Ambos sexos	Porcentaje	2020	0,1
02 Silvicultura y explotación forestal	Ambos sexos	Porcentaje	2019	0,1
02 Silvicultura y explotación forestal	Ambos sexos	Porcentaje	2018	0,2
02 Silvicultura y explotación forestal	Ambos sexos	Porcentaje	2017	0,2
02 Silvicultura y explotación forestal	Ambos sexos	Porcentaje	2016	0,1
02 Silvicultura y explotación forestal	Ambos sexos	Porcentaje	2015	0,1
02 Silvicultura y explotación forestal	Ambos sexos	Porcentaje	2014	0,1
02 Silvicultura y explotación forestal	Ambos sexos	Porcentaje	2013	0,1
02 Silvicultura y explotación forestal	Ambos sexos	Porcentaje	2012	0,1
02 Silvicultura y explotación forestal	Ambos sexos	Porcentaje	2011	0,2
02 Silvicultura y explotación forestal	Ambos sexos	Porcentaje	2010	0,2
02 Silvicultura y explotación forestal	Ambos sexos	Porcentaje	2009	0,2
02 Silvicultura y explotación forestal	Ambos sexos	Porcentaje	2008	0,2
02 Silvicultura y explotación forestal	Hombres	Valor absoluto	2023	35,2
02 Silvicultura y explotación forestal	Hombres	Valor absoluto	2022	29,6
02 Silvicultura y explotación forestal	Hombres	Valor absoluto	2021	26,4
02 Silvicultura y explotación forestal	Hombres	Valor absoluto	2020	24,2
02 Silvicultura y explotación forestal	Hombres	Valor absoluto	2019	25,2
02 Silvicultura y explotación forestal	Hombres	Valor absoluto	2018	26,6
02 Silvicultura y explotación forestal	Hombres	Valor absoluto	2017	27,2
02 Silvicultura y explotación forestal	Hombres	Valor absoluto	2016	23,7
02 Silvicultura y explotación forestal	Hombres	Valor absoluto	2015	23,3
02 Silvicultura y explotación forestal	Hombres	Valor absoluto	2014	23,2
02 Silvicultura y explotación forestal	Hombres	Valor absoluto	2013	21,8
02 Silvicultura y explotación forestal	Hombres	Valor absoluto	2012	22,7
02 Silvicultura y explotación forestal	Hombres	Valor absoluto	2011	27,5
02 Silvicultura y explotación forestal	Hombres	Valor absoluto	2010	28,7
02 Silvicultura y explotación forestal	Hombres	Valor absoluto	2009	29
02 Silvicultura y explotación forestal	Hombres	Valor absoluto	2008	28,1
02 Silvicultura y explotación forestal	Hombres	Porcentaje	2023	0,3
02 Silvicultura y explotación forestal	Hombres	Porcentaje	2022	0,3
02 Silvicultura y explotación forestal	Hombres	Porcentaje	2021	0,2
02 Silvicultura y explotación forestal	Hombres	Porcentaje	2020	0,2
02 Silvicultura y explotación forestal	Hombres	Porcentaje	2019	0,2
02 Silvicultura y explotación forestal	Hombres	Porcentaje	2018	0,3
02 Silvicultura y explotación forestal	Hombres	Porcentaje	2017	0,3
02 Silvicultura y explotación forestal	Hombres	Porcentaje	2016	0,2
02 Silvicultura y explotación forestal	Hombres	Porcentaje	2015	0,2
02 Silvicultura y explotación forestal	Hombres	Porcentaje	2014	0,2
02 Silvicultura y explotación forestal	Hombres	Porcentaje	2013	0,2
02 Silvicultura y explotación forestal	Hombres	Porcentaje	2012	0,2
02 Silvicultura y explotación forestal	Hombres	Porcentaje	2011	0,3
02 Silvicultura y explotación forestal	Hombres	Porcentaje	2010	0,3
02 Silvicultura y explotación forestal	Hombres	Porcentaje	2009	0,3
02 Silvicultura y explotación forestal	Hombres	Porcentaje	2008	0,2
02 Silvicultura y explotación forestal	Mujeres	Valor absoluto	2023	3,7
02 Silvicultura y explotación forestal	Mujeres	Valor absoluto	2022	4
02 Silvicultura y explotación forestal	Mujeres	Valor absoluto	2021	2,5
02 Silvicultura y explotación forestal	Mujeres	Valor absoluto	2020	1,9
02 Silvicultura y explotación forestal	Mujeres	Valor absoluto	2019	3,1
02 Silvicultura y explotación forestal	Mujeres	Valor absoluto	2018	3
02 Silvicultura y explotación forestal	Mujeres	Valor absoluto	2017	1,9
02 Silvicultura y explotación forestal	Mujeres	Valor absoluto	2016	2,3
02 Silvicultura y explotación forestal	Mujeres	Valor absoluto	2015	3
02 Silvicultura y explotación forestal	Mujeres	Valor absoluto	2014	1,6
02 Silvicultura y explotación forestal	Mujeres	Valor absoluto	2013	1,5
02 Silvicultura y explotación forestal	Mujeres	Valor absoluto	2012	2,3
